category,asset_name,original_path,quarantine_path,file_count,bytes,status,reason,restore_status
Envelopes,envelope_read,TripPet/Resources/Assets.xcassets/Envelopes/envelope_read.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Envelopes/envelope_read.imageset,2,2536558,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",restored_to_original_path
Envelopes,mailbox_tray_base,TripPet/Resources/Assets.xcassets/Envelopes/mailbox_tray_base.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Envelopes/mailbox_tray_base.imageset,2,1766335,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",restored_to_original_path
Onboarding,health_steps_ticket,TripPet/Resources/Assets.xcassets/Onboarding/health_steps_ticket.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Onboarding/health_steps_ticket.imageset,2,1534659,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",restored_to_original_path
Onboarding,onboarding_cabin_path,TripPet/Resources/Assets.xcassets/Onboarding/onboarding_cabin_path.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Onboarding/onboarding_cabin_path.imageset,2,2148278,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",restored_to_original_path
Postcards,ticket_confirm_card,TripPet/Resources/Assets.xcassets/Postcards/ticket_confirm_card.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Postcards/ticket_confirm_card.imageset,2,1133820,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",restored_to_original_path
Destinations,postcard_destination_archetype_harbor,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_archetype_harbor.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_archetype_harbor.imageset,2,1065138,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",kept_deleted_by_user_review
Destinations,postcard_destination_archetype_mountain,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_archetype_mountain.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_archetype_mountain.imageset,2,1117247,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",kept_deleted_by_user_review
Destinations,postcard_destination_archetype_river_lake,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_archetype_river_lake.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_archetype_river_lake.imageset,2,1048346,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",kept_deleted_by_user_review
Destinations,trip_route_map_lisbon,TripPet/Resources/Assets.xcassets/Destinations/trip_route_map_lisbon.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Destinations/trip_route_map_lisbon.imageset,2,2263891,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",kept_deleted_by_user_review
Onboarding,onboarding_cat_suitcase,TripPet/Resources/Assets.xcassets/Onboarding/onboarding_cat_suitcase.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Onboarding/onboarding_cat_suitcase.imageset,2,931589,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",kept_deleted_by_user_review
Onboarding,onboarding_hero_welcome,TripPet/Resources/Assets.xcassets/Onboarding/onboarding_hero_welcome.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Onboarding/onboarding_hero_welcome.imageset,2,2763653,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",kept_deleted_by_user_review
Onboarding,story_comic_01,TripPet/Resources/Assets.xcassets/Onboarding/story_comic_01.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Onboarding/story_comic_01.imageset,2,2623195,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",kept_deleted_by_user_review
Onboarding,story_comic_02,TripPet/Resources/Assets.xcassets/Onboarding/story_comic_02.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Onboarding/story_comic_02.imageset,2,2473849,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",kept_deleted_by_user_review
Onboarding,story_comic_03,TripPet/Resources/Assets.xcassets/Onboarding/story_comic_03.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Onboarding/story_comic_03.imageset,2,2465547,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",kept_deleted_by_user_review
Onboarding,story_comic_04,TripPet/Resources/Assets.xcassets/Onboarding/story_comic_04.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Onboarding/story_comic_04.imageset,2,2684791,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",kept_deleted_by_user_review
Onboarding,story_comic_05,TripPet/Resources/Assets.xcassets/Onboarding/story_comic_05.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Onboarding/story_comic_05.imageset,2,2636863,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",kept_deleted_by_user_review
Onboarding,story_comic_06,TripPet/Resources/Assets.xcassets/Onboarding/story_comic_06.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Onboarding/story_comic_06.imageset,2,2691510,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",kept_deleted_by_user_review
Onboarding,story_comic_07,TripPet/Resources/Assets.xcassets/Onboarding/story_comic_07.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Onboarding/story_comic_07.imageset,2,2507071,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",kept_deleted_by_user_review
Onboarding,story_comic_08,TripPet/Resources/Assets.xcassets/Onboarding/story_comic_08.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Onboarding/story_comic_08.imageset,2,2952772,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",kept_deleted_by_user_review
Onboarding,story_comic_09,TripPet/Resources/Assets.xcassets/Onboarding/story_comic_09.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Onboarding/story_comic_09.imageset,2,2639537,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",kept_deleted_by_user_review
Onboarding,story_comic_10,TripPet/Resources/Assets.xcassets/Onboarding/story_comic_10.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Onboarding/story_comic_10.imageset,2,2880245,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",kept_deleted_by_user_review
Onboarding,story_comic_11,TripPet/Resources/Assets.xcassets/Onboarding/story_comic_11.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Onboarding/story_comic_11.imageset,2,3052495,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",kept_deleted_by_user_review
Postcards,postcard_base_16x9,TripPet/Resources/Assets.xcassets/Postcards/postcard_base_16x9.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Postcards/postcard_base_16x9.imageset,2,1252022,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",kept_deleted_by_user_review
Postcards,postcard_motif_airport,TripPet/Resources/Assets.xcassets/Postcards/postcard_motif_airport.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Postcards/postcard_motif_airport.imageset,2,6504,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",kept_deleted_by_user_review
Postcards,postcard_motif_lisbon,TripPet/Resources/Assets.xcassets/Postcards/postcard_motif_lisbon.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Postcards/postcard_motif_lisbon.imageset,2,6134,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",kept_deleted_by_user_review
Postcards,postcard_motif_paris,TripPet/Resources/Assets.xcassets/Postcards/postcard_motif_paris.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Postcards/postcard_motif_paris.imageset,2,8516,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",kept_deleted_by_user_review
Postcards,postcard_motif_reykjavik,TripPet/Resources/Assets.xcassets/Postcards/postcard_motif_reykjavik.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Postcards/postcard_motif_reykjavik.imageset,2,6518,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",kept_deleted_by_user_review
Postcards,postcard_portrait_motif_airport,TripPet/Resources/Assets.xcassets/Postcards/postcard_portrait_motif_airport.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Postcards/postcard_portrait_motif_airport.imageset,2,13170,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",kept_deleted_by_user_review
Postcards,postcard_portrait_motif_lisbon,TripPet/Resources/Assets.xcassets/Postcards/postcard_portrait_motif_lisbon.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Postcards/postcard_portrait_motif_lisbon.imageset,2,11185,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",kept_deleted_by_user_review
Postcards,postcard_portrait_motif_paris,TripPet/Resources/Assets.xcassets/Postcards/postcard_portrait_motif_paris.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Postcards/postcard_portrait_motif_paris.imageset,2,15669,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",kept_deleted_by_user_review
Postcards,postcard_portrait_motif_reykjavik,TripPet/Resources/Assets.xcassets/Postcards/postcard_portrait_motif_reykjavik.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Postcards/postcard_portrait_motif_reykjavik.imageset,2,13980,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",kept_deleted_by_user_review
Postcards,postcard_template_landscape_v102,TripPet/Resources/Assets.xcassets/Postcards/postcard_template_landscape_v102.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/Postcards/postcard_template_landscape_v102.imageset,2,2374951,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",kept_deleted_by_user_review
UI,icon_settings,TripPet/Resources/Assets.xcassets/UI/icon_settings.imageset,UnusedArtAssetsReview/quarantine_xcassets/TripPet/Resources/Assets.xcassets/UI/icon_settings.imageset,2,800,moved_to_quarantine,"No runtime text, manifest asset field, or modeled dynamic asset reference found on current branch.",kept_deleted_by_user_review
