category,asset_name,imageset_path,reason
Animals,animal_home_aini_fox,TripPet/Resources/Assets.xcassets/Animals/animal_home_aini_fox.imageset,manifest asset field
Animals,animal_home_dengdeng_rabbit,TripPet/Resources/Assets.xcassets/Animals/animal_home_dengdeng_rabbit.imageset,manifest asset field
Animals,animal_home_dundun_bear,TripPet/Resources/Assets.xcassets/Animals/animal_home_dundun_bear.imageset,manifest asset field
Animals,animal_home_feifei_parrot,TripPet/Resources/Assets.xcassets/Animals/animal_home_feifei_parrot.imageset,manifest asset field
Animals,animal_home_jiujiu_deer,TripPet/Resources/Assets.xcassets/Animals/animal_home_jiujiu_deer.imageset,manifest asset field
Animals,animal_home_moji_cat,TripPet/Resources/Assets.xcassets/Animals/animal_home_moji_cat.imageset,manifest asset field
Animals,animal_home_tangyuan_puppy,TripPet/Resources/Assets.xcassets/Animals/animal_home_tangyuan_puppy.imageset,manifest asset field
Animals,animal_home_xiaolu_guinea_pig,TripPet/Resources/Assets.xcassets/Animals/animal_home_xiaolu_guinea_pig.imageset,manifest asset field
Animals,animal_home_xiaoman_hamster,TripPet/Resources/Assets.xcassets/Animals/animal_home_xiaoman_hamster.imageset,manifest asset field
Animals,animal_visitor_unknown,TripPet/Resources/Assets.xcassets/Animals/animal_visitor_unknown.imageset,runtime text/reference
Cabin,cabin_bg_day_full,TripPet/Resources/Assets.xcassets/Cabin/cabin_bg_day_full.imageset,runtime text/reference
Cabin,cabin_bg_night_full,TripPet/Resources/Assets.xcassets/Cabin/cabin_bg_night_full.imageset,runtime text/reference
Cabin,cabin_room_base_night_cutaway,TripPet/Resources/Assets.xcassets/Cabin/cabin_room_base_night_cutaway.imageset,runtime text/reference
Cabin,cabin_room_day_fullscreen,TripPet/Resources/Assets.xcassets/Cabin/cabin_room_day_fullscreen.imageset,runtime text/reference
Cabin,cabin_room_day_night_window_clean_rug,TripPet/Resources/Assets.xcassets/Cabin/cabin_room_day_night_window_clean_rug.imageset,runtime text/reference
Cabin,prop_paper_plane,TripPet/Resources/Assets.xcassets/Cabin/prop_paper_plane.imageset,runtime text/reference
Cabin,prop_ticket_single,TripPet/Resources/Assets.xcassets/Cabin/prop_ticket_single.imageset,runtime text/reference
Destinations,destination_iceland_line,TripPet/Resources/Assets.xcassets/Destinations/destination_iceland_line.imageset,runtime text/reference
Destinations,destination_lisbon_line,TripPet/Resources/Assets.xcassets/Destinations/destination_lisbon_line.imageset,runtime text/reference
Destinations,destination_paris_line,TripPet/Resources/Assets.xcassets/Destinations/destination_paris_line.imageset,runtime text/reference
Destinations,postcard_destination_airport,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_airport.imageset,runtime text/reference
Destinations,postcard_destination_archetype_desert,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_archetype_desert.imageset,runtime text/reference
Destinations,postcard_destination_archetype_east_asia_city,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_archetype_east_asia_city.imageset,runtime text/reference
Destinations,postcard_destination_archetype_european_old_town,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_archetype_european_old_town.imageset,runtime text/reference
Destinations,postcard_destination_archetype_historic_market,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_archetype_historic_market.imageset,runtime text/reference
Destinations,postcard_destination_archetype_modern_skyline,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_archetype_modern_skyline.imageset,runtime text/reference
Destinations,postcard_destination_archetype_north_america_street,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_archetype_north_america_street.imageset,runtime text/reference
Destinations,postcard_destination_archetype_oceania_coast,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_archetype_oceania_coast.imageset,runtime text/reference
Destinations,postcard_destination_archetype_snow,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_archetype_snow.imageset,runtime text/reference
Destinations,postcard_destination_archetype_tropical,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_archetype_tropical.imageset,runtime text/reference
Destinations,postcard_destination_city_amsterdam,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_city_amsterdam.imageset,runtime text/reference
Destinations,postcard_destination_city_barcelona,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_city_barcelona.imageset,runtime text/reference
Destinations,postcard_destination_city_beijing,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_city_beijing.imageset,runtime text/reference
Destinations,postcard_destination_city_cairo,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_city_cairo.imageset,runtime text/reference
Destinations,postcard_destination_city_cape_town,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_city_cape_town.imageset,runtime text/reference
Destinations,postcard_destination_city_generic,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_city_generic.imageset,manifest asset field
Destinations,postcard_destination_city_hongkong,TripPet/Resources/Assets.xcassets/Destinations/postcard_destination_city_hongkong.imageset,runtime text/reference
